redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance
Max Holloway,Calvin Kattar,Max Holloway,UFC Fight Night: Holloway vs. Kattar,Herb Dean,Decision - Unanimous,0,0,445 of 744,133 of 283,59%,47%,447 of 746,134 of 284,0 of 1,0 of 2,0%,0%,0,0,5,5:00,"5' 11""","5' 11""","69""","72""",Orthodox,Orthodox
Carlos Condit,Matt Brown,Carlos Condit,UFC Fight Night: Holloway vs. Kattar,Marc Goddard,Decision - Unanimous,0,0,39 of 88,28 of 37,44%,75%,157 of 209,37 of 52,2 of 4,1 of 6,50%,16%,0,0,3,5:00,"6' 2""","6' 0""","75""","75""",Orthodox,Orthodox
Santiago Ponzinibbio,Li Jingliang,Li Jingliang,UFC Fight Night: Holloway vs. Kattar,Jason Herzog,KO/TKO,0,1,11 of 18,21 of 50,61%,42%,11 of 18,21 of 50,0 of 0,0 of 0,---,---,0,0,1,4:25,"6' 0""","6' 0""","73""","71""",Orthodox,Orthodox
Joaquin Buckley,Alessio Di Chirico,Alessio Di Chirico,UFC Fight Night: Holloway vs. Kattar,Keith Peterson,KO/TKO,0,1,3 of 22,12 of 23,13%,52%,3 of 22,12 of 23,0 of 0,0 of 0,---,---,0,0,1,2:12,"5' 10""","6' 0""","76""","74""",Southpaw,Orthodox
Punahele Soriano,Dusko Todorovic,Punahele Soriano,UFC Fight Night: Holloway vs. Kattar,Herb Dean,KO/TKO,2,0,30 of 66,22 of 57,45%,38%,32 of 69,23 of 59,0 of 1,0 of 0,0%,---,0,0,1,4:48,"5' 11""","6' 1""","72""","74""",Southpaw,Orthodox
Wu Yanan,Joselyne Edwards,Joselyne Edwards,UFC Fight Night: Holloway vs. Kattar,Jason Herzog,Decision - Unanimous,0,0,58 of 129,88 of 178,44%,49%,70 of 148,111 of 206,1 of 2,0 of 3,50%,0%,0,1,3,5:00,"5' 8""","5' 8""","66""","70""",Orthodox,Orthodox
Carlos Felipe,Justin Tafa,Carlos Felipe,UFC Fight Night: Holloway vs. Kattar,Herb Dean,Decision - Split,0,0,77 of 142,86 of 148,54%,58%,77 of 142,109 of 171,0 of 1,0 of 2,0%,0%,0,0,3,5:00,"6' 0""","6' 0""","75""","74""",Orthodox,Southpaw
David Zawada,Ramazan Emeev,Ramazan Emeev,UFC Fight Night: Holloway vs. Kattar,Jason Herzog,Decision - Split,0,0,44 of 114,53 of 101,38%,52%,114 of 190,101 of 160,1 of 1,4 of 9,100%,44%,0,0,3,5:00,"6' 0""","5' 10""","75""","76""",Orthodox,Southpaw
Sarah Moras,Vanessa Melo,Vanessa Melo,UFC Fight Night: Holloway vs. Kattar,Keith Peterson,Decision - Unanimous,0,0,44 of 200,56 of 169,22%,33%,44 of 200,56 of 169,0 of 1,0 of 0,0%,---,0,0,3,5:00,"5' 7""","5' 5""","67""","65""",Orthodox,Orthodox
Jacob Kilburn,Austin Lingo,Austin Lingo,UFC Fight Night: Holloway vs. Kattar,Marc Goddard,Decision - Unanimous,0,1,64 of 201,95 of 182,31%,52%,78 of 216,110 of 197,1 of 18,1 of 2,5%,50%,1,0,3,5:00,"5' 9""","5' 10""","72""","70""",Orthodox,Orthodox
Stephen Thompson,Geoff Neal,Stephen Thompson,UFC Fight Night: Thompson vs. Neal,Marc Goddard,Decision - Unanimous,0,0,171 of 406,85 of 179,42%,47%,191 of 428,110 of 205,0 of 0,0 of 0,---,---,0,0,5,5:00,"6' 0""","5' 11""","75""","75""",Orthodox,Southpaw
Jose Aldo,Marlon Vera,Jose Aldo,UFC Fight Night: Thompson vs. Neal,Dan Miragliotta,Decision - Unanimous,0,0,44 of 70,46 of 82,62%,56%,60 of 86,92 of 133,0 of 2,0 of 3,0%,0%,0,0,3,5:00,"5' 7""","5' 8""","70""","70""",Orthodox,Switch
Michel Pereira,Khaos Williams,Michel Pereira,UFC Fight Night: Thompson vs. Neal,Mark Smith,Decision - Unanimous,0,0,44 of 79,55 of 127,55%,43%,56 of 94,62 of 134,2 of 2,0 of 0,100%,---,1,0,3,5:00,"6' 1""","6' 0""","73""","77""",Orthodox,Orthodox
Marlon Moraes,Rob Font,Rob Font,UFC Fight Night: Thompson vs. Neal,Marc Goddard,KO/TKO,0,1,9 of 12,30 of 37,75%,81%,12 of 16,33 of 41,2 of 3,0 of 0,66%,---,0,0,1,3:47,"5' 6""","5' 8""","67""","71""",Orthodox,Orthodox
Marcin Tybura,Greg Hardy,Marcin Tybura,UFC Fight Night: Thompson vs. Neal,Dan Miragliotta,KO/TKO,0,0,51 of 101,50 of 91,50%,54%,60 of 111,50 of 91,1 of 4,0 of 0,25%,---,0,0,2,4:31,"6' 3""","6' 5""","78""","80""",Orthodox,Orthodox
Anthony Pettis,Alex Morono,Anthony Pettis,UFC Fight Night: Thompson vs. Neal,Marc Goddard,Decision - Unanimous,0,0,50 of 80,31 of 78,62%,39%,80 of 115,50 of 102,0 of 1,1 of 5,0%,20%,0,0,3,5:00,"5' 10""","5' 11""","72""","72""",Orthodox,Orthodox
Sijara Eubanks,Pannie Kianzad,Pannie Kianzad,UFC Fight Night: Thompson vs. Neal,Mark Smith,Decision - Unanimous,0,0,49 of 104,92 of 143,47%,64%,70 of 131,132 of 187,2 of 4,0 of 2,50%,0%,0,0,3,5:00,"5' 4""","5' 7""","67""","66""",Orthodox,Orthodox
Deron Winn,Antonio Arroyo,Deron Winn,UFC Fight Night: Thompson vs. Neal,Dan Miragliotta,Decision - Unanimous,0,0,20 of 38,45 of 62,52%,72%,64 of 89,70 of 87,12 of 16,0 of 0,75%,---,0,0,3,5:00,"5' 6""","6' 3""","70""","73""",Orthodox,Orthodox
Gillian Robertson,Taila Santos,Taila Santos,UFC Fight Night: Thompson vs. Neal,Mark Smith,Decision - Unanimous,0,0,9 of 14,27 of 37,64%,72%,42 of 48,72 of 85,0 of 2,1 of 1,0%,100%,1,1,3,5:00,"5' 5""","5' 6""","63""","68""",Orthodox,Orthodox
Tafon Nchukwi,Jamie Pickett,Tafon Nchukwi,UFC Fight Night: Thompson vs. Neal,Chris Tognoni,Decision - Unanimous,1,0,120 of 187,40 of 81,64%,49%,159 of 234,40 of 81,0 of 2,1 of 4,0%,25%,0,0,3,5:00,"6' 0""","6' 2""","77""","80""",Orthodox,Orthodox
Jimmy Flick,Cody Durden,Jimmy Flick,UFC Fight Night: Thompson vs. Neal,Jerin Valel,Submission,0,0,6 of 14,21 of 32,42%,65%,7 of 15,30 of 43,0 of 1,2 of 2,0%,100%,1,0,1,3:18,"5' 7""","5' 7""","68""","67""",Orthodox,Southpaw
Christos Giagos,Carlton Minus,Christos Giagos,UFC Fight Night: Thompson vs. Neal,Chris Tognoni,Decision - Unanimous,0,0,31 of 67,28 of 80,46%,35%,76 of 124,29 of 81,5 of 15,0 of 0,33%,---,0,0,3,5:00,"5' 10""","5' 10""","71""","75""",Orthodox,Orthodox
Deiveson Figueiredo,Brandon Moreno,,UFC 256: Figueiredo vs. Moreno,Jason Herzog,Decision - Majority,0,0,137 of 238,132 of 248,57%,53%,147 of 248,139 of 256,2 of 4,4 of 8,50%,50%,0,0,5,5:00,"5' 5""","5' 7""","68""","70""",Orthodox,Orthodox
Tony Ferguson,Charles Oliveira,Charles Oliveira,UFC 256: Figueiredo vs. Moreno,Mark Smith,Decision - Unanimous,0,0,19 of 42,41 of 63,45%,65%,26 of 49,86 of 112,0 of 0,3 of 3,---,100%,0,3,3,5:00,"5' 11""","5' 10""","76""","74""",Orthodox,Orthodox
Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,UFC 256: Figueiredo vs. Moreno,Jason Herzog,Decision - Unanimous,0,0,82 of 174,63 of 134,47%,47%,101 of 195,80 of 152,0 of 5,1 of 1,0%,100%,0,0,3,5:00,"5' 4""","5' 3""","63""","64""",Orthodox,Orthodox
Kevin Holland,Jacare Souza,Kevin Holland,UFC 256: Figueiredo vs. Moreno,Mark Smith,KO/TKO,0,0,15 of 18,2 of 2,83%,100%,21 of 24,2 of 2,0 of 0,2 of 3,---,66%,0,0,1,1:45,"6' 3""","6' 1""","81""","72""",Orthodox,Orthodox
Junior Dos Santos,Ciryl Gane,Ciryl Gane,UFC 256: Figueiredo vs. Moreno,Jerin Valel,KO/TKO,0,1,10 of 35,59 of 80,28%,73%,11 of 36,61 of 82,0 of 1,0 of 0,0%,---,0,0,2,2:34,"6' 4""","6' 4""","77""","81""",Orthodox,Orthodox
Cub Swanson,Daniel Pineda,Cub Swanson,UFC 256: Figueiredo vs. Moreno,Mark Smith,KO/TKO,2,0,46 of 66,21 of 45,69%,46%,51 of 71,40 of 65,1 of 1,1 of 2,100%,50%,0,1,2,1:52,"5' 8""","5' 7""","70""","69""",Orthodox,Orthodox
Renato Moicano,Rafael Fiziev,Rafael Fiziev,UFC 256: Figueiredo vs. Moreno,Chris Tognoni,KO/TKO,0,1,15 of 37,21 of 35,40%,60%,15 of 37,21 of 35,0 of 1,0 of 1,0%,0%,0,0,1,4:05,"5' 11""","5' 8""","72""","71""",Orthodox,Switch
Gavin Tucker,Billy Quarantillo,Gavin Tucker,UFC 256: Figueiredo vs. Moreno,Jerin Valel,Decision - Unanimous,0,0,106 of 166,84 of 178,63%,47%,123 of 183,136 of 233,7 of 13,0 of 3,53%,0%,0,0,3,5:00,"5' 6""","5' 10""","66""","70""",Southpaw,Orthodox
Tecia Torres,Sam Hughes,Tecia Torres,UFC 256: Figueiredo vs. Moreno,Jason Herzog,TKO - Doctor's Stoppage,0,0,52 of 103,20 of 53,50%,37%,52 of 103,26 of 59,1 of 1,0 of 1,100%,0%,0,0,1,5:00,"5' 1""","5' 5""","60""","64""",Orthodox,Orthodox
Chase Hooper,Peter Barrett,Chase Hooper,UFC 256: Figueiredo vs. Moreno,Chris Tognoni,Submission,0,0,57 of 117,48 of 87,48%,55%,81 of 144,61 of 100,0 of 6,0 of 0,0%,---,2,0,3,3:02,"6' 1""","5' 10""","74""","73""",Southpaw,Southpaw
Jack Hermansson,Marvin Vettori,Marvin Vettori,UFC Fight Night: Hermansson vs. Vettori,Herb Dean,Decision - Unanimous,0,1,122 of 346,164 of 334,35%,49%,139 of 365,202 of 376,2 of 7,0 of 1,28%,0%,0,1,5,5:00,"6' 1""","6' 0""","77""","74""",Orthodox,Southpaw
Ovince Saint Preux,Jamahal Hill,Jamahal Hill,UFC Fight Night: Hermansson vs. Vettori,Jason Herzog,KO/TKO,0,0,36 of 72,68 of 128,50%,53%,37 of 73,68 of 128,0 of 0,0 of 0,---,---,0,0,2,3:37,"6' 3""","6' 4""","80""","79""",Southpaw,Southpaw
Gabriel Benitez,Justin Jaynes,Gabriel Benitez,UFC Fight Night: Hermansson vs. Vettori,,KO/TKO,1,0,38 of 104,22 of 52,36%,42%,38 of 104,22 of 52,0 of 0,0 of 0,---,---,0,0,1,4:06,"5' 8""","5' 7""","71""","68""",Southpaw,Orthodox
Roman Dolidze,John Allan,Roman Dolidze,UFC Fight Night: Hermansson vs. Vettori,Herb Dean,Decision - Split,0,0,51 of 109,29 of 86,46%,33%,118 of 205,48 of 117,3 of 5,1 of 1,60%,100%,3,0,3,5:00,"6' 2""","6' 1""","76""","75""",Orthodox,Orthodox
Matt Wiman,Jordan Leavitt,Jordan Leavitt,UFC Fight Night: Hermansson vs. Vettori,Chris Tognoni,KO/TKO,0,0,0 of 2,1 of 1,0%,100%,0 of 2,1 of 1,0 of 0,1 of 2,---,50%,0,0,1,0:22,"5' 10""","5' 9""","68""","71""",Orthodox,Southpaw
Louis Smolka,Jose Quinonez,Louis Smolka,UFC Fight Night: Hermansson vs. Vettori,Jason Herzog,KO/TKO,0,0,59 of 116,43 of 107,50%,40%,64 of 128,47 of 113,3 of 4,2 of 3,75%,66%,0,0,2,2:15,"5' 9""","5' 8""","68""","69""",Orthodox,Southpaw
Ilia Topuria,Damon Jackson,Ilia Topuria,UFC Fight Night: Hermansson vs. Vettori,Mark Smith,KO/TKO,1,0,31 of 63,16 of 52,49%,30%,31 of 64,16 of 53,0 of 0,0 of 0,---,---,0,0,1,2:38,"5' 7""","5' 11""","69""","71""",Orthodox,Switch
Gian Villante,Jake Collier,Jake Collier,UFC Fight Night: Hermansson vs. Vettori,Chris Tognoni,Decision - Unanimous,0,0,80 of 197,123 of 272,40%,45%,81 of 198,126 of 277,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 3""","6' 3""","76""","78""",Orthodox,Orthodox
Anthony Smith,Devin Clark,Anthony Smith,UFC Fight Night: Smith vs. Clark,Herb Dean,Submission,0,0,1 of 4,1 of 3,25%,33%,4 of 8,27 of 30,1 of 1,0 of 0,100%,---,1,0,1,2:34,"6' 4""","6' 0""","76""","75""",Orthodox,Orthodox
Miguel Baeza,Takashi Sato,Miguel Baeza,UFC Fight Night: Smith vs. Clark,Dan Miragliotta,Submission,0,0,40 of 73,15 of 58,54%,25%,43 of 82,15 of 58,1 of 2,0 of 0,50%,---,1,0,2,4:28,"6' 2""","5' 10""","74""","73""",Orthodox,Southpaw
Josh Parisian,Parker Porter,Parker Porter,UFC Fight Night: Smith vs. Clark,Mark Smith,Decision - Unanimous,0,0,114 of 226,126 of 228,50%,55%,123 of 237,164 of 275,0 of 0,2 of 4,---,50%,0,1,3,5:00,"6' 4""","6' 0""","79""","75""",Orthodox,Orthodox
Spike Carlyle,Bill Algeo,Bill Algeo,UFC Fight Night: Smith vs. Clark,Herb Dean,Decision - Unanimous,0,0,23 of 53,70 of 95,43%,73%,28 of 65,118 of 150,4 of 13,1 of 3,30%,33%,1,0,3,5:00,"5' 8""","6' 0""","71""","73""",Switch,Switch
Ashlee Evans-Smith,Norma Dumont,Norma Dumont,UFC Fight Night: Smith vs. Clark,Jason Herzog,Decision - Unanimous,0,1,42 of 164,94 of 161,25%,58%,47 of 169,109 of 178,0 of 2,2 of 4,0%,50%,0,0,3,5:00,"5' 8""","5' 7""","67""","67""",Orthodox,Orthodox
Jonathan Pearce,Kai Kamaka,Jonathan Pearce,UFC Fight Night: Smith vs. Clark,Dan Miragliotta,KO/TKO,0,0,51 of 100,47 of 83,51%,56%,113 of 172,48 of 84,5 of 7,1 of 3,71%,33%,1,1,2,4:28,"6' 0""","5' 7""","71""","69""",Switch,Orthodox
Martin Day,Anderson Dos Santos,Anderson Dos Santos,UFC Fight Night: Smith vs. Clark,Herb Dean,Submission,0,0,9 of 12,11 of 20,75%,55%,16 of 19,22 of 31,1 of 1,1 of 6,100%,16%,0,1,1,4:35,"5' 10""","5' 5""","73""","70""",Orthodox,Orthodox
Gina Mazany,Rachael Ostovich,Gina Mazany,UFC Fight Night: Smith vs. Clark,Mark Smith,KO/TKO,1,0,72 of 162,41 of 95,44%,43%,106 of 216,49 of 106,7 of 12,0 of 1,58%,0%,1,0,3,4:10,"5' 6""","5' 3""","68""","62""",Southpaw,Orthodox
Sumudaerji,Malcolm Gordon,Sumudaerji,UFC Fight Night: Smith vs. Clark,Dan Miragliotta,KO/TKO,1,0,9 of 18,0 of 6,50%,0%,9 of 18,0 of 6,0 of 0,0 of 0,---,---,0,0,1,0:44,"5' 8""","5' 7""","72""","71""",Southpaw,Switch
Luke Sanders,Nate Maness,Nate Maness,UFC Fight Night: Smith vs. Clark,Jason Herzog,Submission,0,1,55 of 112,33 of 70,49%,47%,63 of 120,38 of 75,0 of 1,1 of 2,0%,50%,0,1,2,2:29,"5' 6""","5' 10""","67""","72""",Southpaw,Orthodox
Deiveson Figueiredo,Alex Perez,Deiveson Figueiredo,UFC 255: Figueiredo vs. Perez,Marc Goddard,Submission,0,0,5 of 8,6 of 14,62%,42%,5 of 8,6 of 14,0 of 0,0 of 2,---,0%,1,0,1,1:57,"5' 5""","5' 6""","68""","65""",Orthodox,Orthodox
Valentina Shevchenko,Jennifer Maia,Valentina Shevchenko,UFC 255: Figueiredo vs. Perez,Herb Dean,Decision - Unanimous,0,0,62 of 119,36 of 88,52%,40%,249 of 317,94 of 152,5 of 6,1 of 2,83%,50%,0,0,5,5:00,"5' 5""","5' 4""","66""","64""",Southpaw,Orthodox
Mike Perry,Tim Means,Tim Means,UFC 255: Figueiredo vs. Perez,Marc Goddard,Decision - Unanimous,0,0,64 of 161,128 of 192,39%,66%,69 of 166,143 of 207,1 of 5,0 of 1,20%,0%,2,0,3,5:00,"5' 10""","6' 2""","71""","75""",Orthodox,Orthodox
Katlyn Cerminara,Cynthia Calvillo,Katlyn Cerminara,UFC 255: Figueiredo vs. Perez,Mark Smith,Decision - Unanimous,0,0,69 of 230,60 of 197,30%,30%,69 of 230,60 of 197,0 of 1,1 of 4,0%,25%,0,0,3,5:00,"5' 9""","5' 4""","68""","64""",Orthodox,Orthodox
Mauricio Rua,Paul Craig,Paul Craig,UFC 255: Figueiredo vs. Perez,Herb Dean,KO/TKO,0,0,10 of 28,29 of 57,35%,50%,25 of 46,54 of 88,0 of 0,4 of 8,---,50%,0,0,2,3:36,"6' 1""","6' 3""","76""","76""",Orthodox,Orthodox
Brandon Moreno,Brandon Royval,Brandon Moreno,UFC 255: Figueiredo vs. Perez,Marc Goddard,KO/TKO,0,0,16 of 34,17 of 52,47%,32%,53 of 73,24 of 62,2 of 2,0 of 0,100%,---,2,0,1,4:59,"5' 7""","5' 9""","70""","68""",Orthodox,Southpaw
Joaquin Buckley,Jordan Wright,Joaquin Buckley,UFC 255: Figueiredo vs. Perez,Herb Dean,KO/TKO,2,0,43 of 80,18 of 47,53%,38%,59 of 96,36 of 66,0 of 2,0 of 1,0%,0%,0,0,2,0:18,"5' 10""","6' 2""","76""","77""",Southpaw,Orthodox
Antonina Shevchenko,Ariane Lipski,Antonina Shevchenko,UFC 255: Figueiredo vs. Perez,Chris Tognoni,KO/TKO,0,0,39 of 57,15 of 26,68%,57%,94 of 128,25 of 36,1 of 3,0 of 3,33%,0%,0,0,2,4:33,"5' 8""","5' 6""","67""","67""",Southpaw,Orthodox
Daniel Rodriguez,Nicolas Dalby,Nicolas Dalby,UFC 255: Figueiredo vs. Perez,Mark Smith,Decision - Unanimous,0,0,83 of 199,50 of 147,41%,34%,105 of 222,58 of 155,0 of 2,0 of 7,0%,0%,0,0,3,5:00,"6' 1""","5' 11""","74""","74""",Southpaw,Orthodox
Alan Jouban,Jared Gooden,Alan Jouban,UFC 255: Figueiredo vs. Perez,Chris Tognoni,Decision - Unanimous,0,0,168 of 331,100 of 210,50%,47%,169 of 332,101 of 211,0 of 1,1 of 1,0%,100%,2,0,3,5:00,"6' 0""","6' 0""","73""","77""",Southpaw,Orthodox
Kyle Daukaus,Dustin Stoltzfus,Kyle Daukaus,UFC 255: Figueiredo vs. Perez,Mark Smith,Decision - Unanimous,0,0,64 of 122,32 of 63,52%,50%,113 of 183,95 of 130,2 of 7,0 of 7,28%,0%,1,0,3,5:00,"6' 3""","6' 0""","76""","75""",Southpaw,Orthodox
Louis Cosce,Sasha Palatnikov,Sasha Palatnikov,UFC 255: Figueiredo vs. Perez,Chris Tognoni,KO/TKO,1,0,99 of 206,125 of 237,48%,52%,115 of 224,160 of 275,1 of 9,1 of 1,11%,100%,0,0,3,2:47,"5' 9""","6' 1""","71""","72""",Orthodox,Switch
Paul Felder,Rafael Dos Anjos,Rafael Dos Anjos,UFC Fight Night: Felder vs. Dos Anjos,Herb Dean,Decision - Split,0,0,98 of 190,92 of 162,51%,56%,134 of 226,155 of 231,1 of 2,6 of 22,50%,27%,0,0,5,5:00,"5' 11""","5' 8""","70""","70""",Orthodox,Southpaw
Abdul Razak Alhassan,Khaos Williams,Khaos Williams,UFC Fight Night: Felder vs. Dos Anjos,Mark Smith,KO/TKO,0,1,2 of 2,5 of 10,100%,50%,2 of 2,5 of 10,0 of 0,0 of 0,---,---,0,0,1,0:30,"5' 10""","6' 0""","73""","77""",Orthodox,Orthodox
Ashley Yoder,Miranda Granger,Ashley Yoder,UFC Fight Night: Felder vs. Dos Anjos,Jason Herzog,Decision - Unanimous,0,0,26 of 42,33 of 51,61%,64%,151 of 184,87 of 107,2 of 4,0 of 0,50%,---,3,0,3,5:00,"5' 7""","5' 7""","69""","68""",Southpaw,Orthodox
Brendan Allen,Sean Strickland,Sean Strickland,UFC Fight Night: Felder vs. Dos Anjos,Herb Dean,KO/TKO,0,1,51 of 90,94 of 161,56%,58%,53 of 92,106 of 176,0 of 0,1 of 1,---,100%,0,0,2,1:32,"6' 2""","6' 1""","75""","76""",Orthodox,Orthodox
Kay Hansen,Cory McKenna,Cory McKenna,UFC Fight Night: Felder vs. Dos Anjos,Jason Herzog,Decision - Unanimous,0,0,67 of 110,57 of 137,60%,41%,87 of 131,156 of 246,2 of 5,0 of 1,40%,0%,2,0,3,5:00,"5' 2""","5' 3""","63""","58""",Orthodox,Orthodox
Randa Markos,Kanako Murata,Kanako Murata,UFC Fight Night: Felder vs. Dos Anjos,Mark Smith,Decision - Unanimous,0,0,29 of 61,29 of 43,47%,67%,37 of 69,79 of 95,0 of 0,4 of 9,---,44%,0,2,3,5:00,"5' 4""","5' 1""","63""","62""",Orthodox,Orthodox
Geraldo de Freitas,Tony Gravely,Tony Gravely,UFC Fight Night: Felder vs. Dos Anjos,Chris Tognoni,Decision - Split,0,0,76 of 128,49 of 101,59%,48%,108 of 165,86 of 144,1 of 4,7 of 17,25%,41%,0,0,3,5:00,"5' 7""","5' 5""","72""","69""",Orthodox,Orthodox
Alex Morono,Rhys McKee,Alex Morono,UFC Fight Night: Felder vs. Dos Anjos,Jason Herzog,Decision - Unanimous,0,0,176 of 321,124 of 230,54%,53%,208 of 360,133 of 242,3 of 3,0 of 3,100%,0%,0,0,3,5:00,"5' 11""","6' 2""","72""","78""",Orthodox,Orthodox
Don'Tale Mayes,Roque Martinez,Don'Tale Mayes,UFC Fight Night: Felder vs. Dos Anjos,Chris Tognoni,Decision - Unanimous,0,0,59 of 135,58 of 111,43%,52%,80 of 158,96 of 152,1 of 2,1 of 2,50%,50%,0,0,3,5:00,"6' 6""","5' 10""","81""","72""",Orthodox,Orthodox
Thiago Santos,Glover Teixeira,Glover Teixeira,UFC Fight Night: Santos vs. Teixeira,Herb Dean,Submission,1,0,40 of 64,46 of 63,62%,73%,81 of 109,148 of 180,0 of 0,4 of 7,---,57%,0,2,3,1:49,"6' 2""","6' 2""","76""","76""",Orthodox,Orthodox
Andrei Arlovski,Tanner Boser,Andrei Arlovski,UFC Fight Night: Santos vs. Teixeira,Mark Smith,Decision - Unanimous,0,0,34 of 82,68 of 119,41%,57%,34 of 82,68 of 119,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 3""","6' 2""","77""","75""",Orthodox,Orthodox
Raoni Barcelos,Khalid Taha,Raoni Barcelos,UFC Fight Night: Santos vs. Teixeira,Jason Herzog,Decision - Unanimous,0,0,120 of 207,49 of 202,57%,24%,129 of 219,68 of 222,2 of 4,0 of 1,50%,0%,1,0,3,5:00,"5' 7""","5' 5""","67""","69""",Orthodox,Orthodox
Giga Chikadze,Jamey Simmons,Giga Chikadze,UFC Fight Night: Santos vs. Teixeira,Herb Dean,KO/TKO,1,0,8 of 16,2 of 4,50%,50%,8 of 16,4 of 6,0 of 1,0 of 3,0%,0%,0,0,1,3:51,"6' 0""","5' 6""","74""","70""",Orthodox,Orthodox
Claudia Gadelha,Yan Xiaonan,Yan Xiaonan,UFC Fight Night: Santos vs. Teixeira,Jason Herzog,Decision - Unanimous,0,0,36 of 96,74 of 170,37%,43%,84 of 149,133 of 234,2 of 10,0 of 0,20%,---,0,0,3,5:00,"5' 4""","5' 5""","63""","63""",Orthodox,Orthodox
Trevin Giles,Bevon Lewis,Trevin Giles,UFC Fight Night: Santos vs. Teixeira,Mark Smith,KO/TKO,2,0,38 of 59,26 of 75,64%,34%,51 of 73,60 of 113,1 of 2,0 of 6,50%,0%,0,0,3,1:26,"6' 0""","6' 3""","74""","79""",Orthodox,Orthodox
Alexandr Romanov,Marcos Rogerio de Lima,Alexandr Romanov,UFC Fight Night: Santos vs. Teixeira,Herb Dean,Submission,0,0,6 of 7,18 of 29,85%,62%,10 of 12,27 of 39,2 of 5,0 of 0,40%,---,1,0,1,4:48,"6' 2""","6' 1""","75""","75""",Southpaw,Orthodox
Darren Elkins,Eduardo Garagorri,Darren Elkins,UFC Fight Night: Santos vs. Teixeira,Chris Tognoni,Submission,0,0,32 of 72,36 of 78,44%,46%,120 of 168,48 of 90,7 of 21,0 of 0,33%,---,1,0,3,2:22,"5' 10""","5' 9""","71""","70""",Orthodox,Orthodox
Max Griffin,Ramiz Brahimaj,Max Griffin,UFC Fight Night: Santos vs. Teixeira,Mark Smith,KO/TKO,0,0,74 of 167,45 of 123,44%,36%,82 of 175,46 of 124,0 of 1,0 of 0,0%,---,0,0,3,2:03,"5' 11""","5' 10""","76""","72""",Orthodox,Orthodox
Gustavo Lopez,Anthony Birchak,Gustavo Lopez,UFC Fight Night: Santos vs. Teixeira,Chris Tognoni,Submission,0,0,26 of 43,17 of 40,60%,42%,33 of 50,18 of 41,2 of 3,0 of 0,66%,---,1,0,1,2:43,"5' 5""","5' 8""","67""","69""",Orthodox,Orthodox
Uriah Hall,Anderson Silva,Uriah Hall,UFC Fight Night: Hall vs. Silva,Herb Dean,KO/TKO,2,0,60 of 111,53 of 110,54%,48%,61 of 112,57 of 114,0 of 0,0 of 0,---,---,0,0,4,1:24,"6' 0""","6' 2""","79""","77""",Orthodox,Southpaw
Bryce Mitchell,Andre Fili,Bryce Mitchell,UFC Fight Night: Hall vs. Silva,Keith Peterson,Decision - Unanimous,0,0,46 of 69,27 of 72,66%,37%,100 of 135,51 of 97,7 of 13,0 of 0,53%,---,1,0,3,5:00,"5' 10""","5' 11""","70""","74""",Southpaw,Orthodox
Maurice Greene,Greg Hardy,Greg Hardy,UFC Fight Night: Hall vs. Silva,Herb Dean,KO/TKO,0,1,17 of 37,46 of 74,45%,62%,17 of 37,56 of 85,0 of 0,1 of 1,---,100%,0,0,2,1:12,"6' 7""","6' 5""","80""","80""",Orthodox,Orthodox
Kevin Holland,Charlie Ontiveros,Kevin Holland,UFC Fight Night: Hall vs. Silva,Mark Smith,Submission,0,0,11 of 12,2 of 2,91%,100%,33 of 34,2 of 2,2 of 2,0 of 0,100%,---,0,0,1,2:39,"6' 3""","6' 2""","81""","74""",Orthodox,Switch
Bobby Green,Thiago Moises,Thiago Moises,UFC Fight Night: Hall vs. Silva,Keith Peterson,Decision - Unanimous,0,0,85 of 177,42 of 119,48%,35%,94 of 187,43 of 120,2 of 3,2 of 3,66%,66%,0,1,3,5:00,"5' 10""","5' 9""","71""","70""",Orthodox,Orthodox
Chris Gruetzemacher,Alexander Hernandez,Alexander Hernandez,UFC Fight Night: Hall vs. Silva,Mark Smith,KO/TKO,0,1,8 of 27,29 of 52,29%,55%,8 of 27,29 of 52,0 of 0,0 of 0,---,---,0,0,1,1:46,"5' 8""","5' 9""","68""","72""",Orthodox,Orthodox
